disaster_type,latitude,longitude,avg_temperature,rainfall_mm,humidity_percent,wind_speed_kmph,atmospheric_pressure_hpa,soil_moisture_percent,seismic_activity_richter,elevation_meters,month
No Disaster,-40.162,110.2325,21.2,3.7,36.3,7.4,1004.5,48.5,0.7,462.5,10
Flood,-83.397,-89.1227,25.7,468.6,85.4,26.0,983.2,77.9,1.3,24.2,9
Blizzard,42.7329,-114.3778,-13.1,8.4,63.6,52.1,988.2,73.7,0.7,774.7,9
Drought,-0.2804,-148.7087,38.1,5.9,23.6,13.6,1003.2,5.7,0.5,323.0,2
Hurricane,-46.0164,-0.6308,28.3,290.1,75.2,133.8,948.3,69.5,1.7,8.8,8
Landslide,71.4178,-151.1159,17.9,252.6,99.5,3.4,987.9,99.1,5.5,2634.1,1
Volcanic Eruption,-1.6652,80.2426,21.4,35.9,52.1,19.1,1008.7,48.2,8.8,3132.9,4
Wildfire,1.3699,-92.7325,36.7,6.1,9.3,39.1,994.6,14.4,1.1,267.4,2
No Disaster,-8.2318,17.4971,18.2,4.0,50.5,1.8,994.2,30.1,0.2,473.2,6
No Disaster,-15.8686,-54.4074,23.9,16.6,59.0,2.5,1011.9,58.2,0.4,66.5,8
Flood,39.8874,-162.6859,26.7,448.4,92.5,34.0,1004.8,67.5,0.6,63.4,4
No Disaster,-33.0846,31.7904,20.2,9.0,51.4,18.0,1008.7,46.2,0.9,577.5,1
No Disaster,71.9234,-41.7992,18.2,18.1,48.7,2.3,1018.2,48.8,0.7,139.3,1
Blizzard,6.023,141.8013,-6.3,1.5,72.5,34.9,1006.0,61.3,0.9,1548.7,11
Volcanic Eruption,45.8344,-142.9502,15.7,18.9,47.4,24.2,985.2,61.6,6.4,2226.9,2
Flood,-87.8034,35.4394,23.5,414.9,88.0,34.8,1008.8,73.7,0.6,42.4,10
Drought,80.511,-124.7935,38.8,5.1,20.3,5.4,1021.8,18.6,0.8,348.3,8
Flood,-85.8559,54.4922,26.6,312.3,72.1,12.3,983.1,93.6,2.3,12.3,5
Heatwave,87.2714,122.0033,41.2,1.8,22.4,7.8,1018.9,8.0,0.1,268.2,4
Earthquake,51.8022,37.3398,12.3,20.7,71.8,18.5,1006.3,49.2,9.2,1174.1,11
No Disaster,-8.5609,-129.2915,12.6,10.0,42.6,18.3,1000.9,47.4,1.3,13.1,5
No Disaster,2.7313,171.1949,16.9,11.1,55.8,10.7,995.5,39.0,0.6,397.3,3
Hurricane,-52.217,143.2995,27.1,178.6,75.9,170.8,958.2,52.6,1.6,45.3,2
No Disaster,6.2021,-6.8083,17.5,15.3,33.1,6.7,992.3,52.6,0.5,897.4,2
Drought,-16.4278,-170.8609,32.3,7.2,21.5,5.5,1005.5,4.6,1.0,9.9,6
Heatwave,-28.9312,24.9997,48.9,1.1,19.4,12.1,1024.8,12.1,0.8,770.1,4
Flood,30.2553,-106.2057,19.4,468.9,70.4,12.6,986.2,61.1,0.5,58.3,12
No Disaster,36.7103,147.8246,19.4,6.7,54.8,7.3,991.0,54.9,0.7,773.8,9
Blizzard,-11.4972,-73.9923,-1.5,7.6,65.6,72.1,997.1,95.8,1.2,907.9,3
Hurricane,2.2424,87.0073,32.0,210.4,80.5,196.8,951.1,55.3,1.8,69.1,5
No Disaster,-86.6897,149.1476,11.8,11.5,38.2,11.1,1009.5,54.9,0.4,11.0,5
No Disaster,-42.5369,-84.0606,21.0,5.0,49.0,9.9,1007.2,55.1,0.8,770.9,2
No Disaster,-60.069,85.6921,11.2,12.1,37.4,7.8,998.7,40.7,1.4,297.1,3
Drought,80.8752,-37.2062,44.3,1.4,17.1,10.4,1013.5,3.2,1.3,423.2,11
Tsunami,17.4317,-59.6722,27.7,3.2,62.3,14.6,1004.9,54.4,8.1,12.3,3
Earthquake,-76.0022,-179.1578,29.4,0.3,26.2,6.3,1018.3,68.5,8.7,1381.1,1
No Disaster,-56.6761,15.0843,23.1,14.6,54.2,13.2,1010.8,55.5,0.5,489.4,11
Flood,87.7802,159.8614,15.6,411.7,97.8,15.4,997.0,96.6,0.1,69.7,9
Blizzard,-55.3322,-138.4985,-17.3,8.0,89.8,23.3,995.9,80.9,1.0,1335.3,8
Hurricane,-48.5984,-136.5959,25.8,254.4,83.5,208.7,933.3,62.6,1.1,79.1,9
Blizzard,42.814,7.2605,-17.2,8.8,76.7,47.7,1014.7,60.0,0.3,829.5,3
Volcanic Eruption,-77.3947,-176.5852,6.1,4.4,22.3,19.2,990.7,50.9,6.0,1275.1,7
No Disaster,4.0535,83.6179,10.1,9.3,38.9,17.1,1011.5,47.7,0.6,910.3,9
Wildfire,-70.2958,-39.0131,36.9,9.6,17.0,22.9,1007.7,29.5,1.8,981.0,2
Landslide,-59.9339,176.8207,13.5,385.7,89.5,18.2,993.1,76.9,2.7,1441.0,1
Hurricane,82.3086,117.4341,33.0,244.5,80.4,177.7,959.9,71.0,0.5,51.5,2
No Disaster,35.2837,-124.5975,22.2,4.5,36.7,10.7,1007.8,47.4,0.2,877.5,3
Drought,-40.8673,-8.3963,30.7,8.5,5.9,11.6,1023.3,14.7,0.4,126.3,6
No Disaster,-43.2443,80.4312,17.4,1.6,36.6,13.7,992.3,55.5,1.0,480.6,3
Earthquake,58.4426,-54.7887,23.6,28.3,36.0,17.6,1017.9,56.3,8.9,1734.6,9
Earthquake,-29.8784,-94.0716,28.6,5.3,61.9,3.8,1020.9,68.5,7.4,1758.1,10
Blizzard,-66.8034,-59.3572,-7.7,1.6,92.7,69.9,997.8,60.3,0.4,1272.2,1
Volcanic Eruption,10.772,-138.2962,12.5,0.5,69.1,5.1,969.8,40.7,6.2,3520.4,12
No Disaster,23.8719,155.5301,11.5,18.7,50.6,1.4,999.0,51.2,0.1,582.2,1
Hurricane,-79.5743,-153.11,33.5,298.5,91.9,166.9,962.4,73.8,0.8,6.6,1
No Disaster,-31.7502,-4.0885,21.6,13.7,43.4,5.5,1019.9,42.8,0.9,163.6,7
Heatwave,58.6657,-72.5852,48.4,1.5,9.6,2.0,1023.0,19.3,0.0,585.0,5
Volcanic Eruption,24.9347,-36.866,10.5,49.2,44.6,35.8,966.1,48.5,4.2,2955.0,12
No Disaster,11.2951,-10.2483,18.1,3.2,36.1,1.8,994.6,43.6,1.1,17.9,12
Drought,-84.1453,151.5052,39.2,8.0,17.0,7.3,1003.1,13.7,0.6,100.3,9
Drought,-61.0514,54.547,34.9,5.9,15.8,24.7,1003.7,9.3,1.0,197.8,6
No Disaster,-37.5007,70.1935,22.9,15.6,31.2,9.6,993.1,37.3,2.0,142.5,6
Wildfire,21.268,72.8874,43.4,0.1,9.9,35.9,992.6,10.5,0.1,302.2,6
Hurricane,-32.023,171.8879,27.0,254.0,95.5,106.2,963.5,88.1,0.2,89.6,9
Wildfire,78.5182,-161.2903,43.1,7.1,18.1,45.7,1014.1,10.2,1.6,304.1,4
Hurricane,9.5403,35.0913,32.8,222.1,76.0,124.6,951.9,79.0,1.2,65.0,9
No Disaster,66.921,-101.083,24.6,6.7,35.5,15.8,1009.8,44.9,1.1,719.2,6
Flood,-30.1834,15.2923,22.4,224.5,82.1,16.6,992.6,68.1,2.1,17.4,5
No Disaster,40.8904,87.3743,16.4,6.9,41.1,19.8,991.2,56.0,1.2,438.6,5
Heatwave,-18.8073,38.2279,46.0,1.6,18.1,14.9,1014.3,7.2,0.4,372.7,5
Volcanic Eruption,41.9603,-132.6356,19.3,45.5,30.8,9.5,1018.0,47.2,8.3,2476.8,6
Volcanic Eruption,66.735,-19.6901,15.3,18.0,55.6,6.5,977.4,78.8,5.3,2970.2,1
Flood,49.2252,-132.8855,29.5,336.1,77.1,12.2,985.1,80.8,0.8,82.9,1
No Disaster,-9.1019,31.6384,24.2,5.1,40.8,7.6,1008.2,40.7,1.1,781.8,8
Volcanic Eruption,55.0206,30.7276,22.4,10.3,26.7,10.8,954.0,61.2,8.7,1118.0,7
Blizzard,-49.5538,-115.1962,-27.3,1.0,83.4,61.3,993.9,79.2,1.0,133.0,9
No Disaster,25.0416,132.4506,16.8,10.3,44.7,13.3,994.2,30.9,0.6,704.7,10
Earthquake,41.9218,-121.5425,13.8,36.5,29.4,4.7,1023.7,40.2,8.1,1957.3,11
No Disaster,32.9846,-1.0171,19.3,17.4,47.1,0.6,1017.9,50.7,1.4,215.7,5
Wildfire,30.0549,27.7867,40.2,1.6,14.1,25.9,1016.0,29.8,1.5,317.6,9
Wildfire,-70.3603,54.1842,46.5,9.3,11.6,55.1,1016.3,9.5,1.7,688.4,6
No Disaster,26.8334,-61.7828,19.5,12.2,46.9,7.6,1006.5,47.9,1.1,444.4,6
Earthquake,-76.8247,37.2415,23.4,31.0,47.8,7.6,1020.2,50.8,7.4,51.3,10
Hurricane,-70.3947,-126.3629,30.3,186.9,86.9,159.2,957.5,79.9,1.4,52.1,5
No Disaster,-54.76,-177.2774,19.7,18.0,37.3,18.5,991.8,58.0,0.7,101.4,4
Volcanic Eruption,-43.7802,-77.4458,11.1,40.2,52.3,12.5,992.7,68.6,5.4,2240.6,9
Earthquake,4.0466,-135.6398,27.2,40.0,31.1,5.9,1017.8,37.4,9.2,849.1,6
No Disaster,55.0787,18.0816,10.7,12.7,58.5,12.0,1014.6,56.5,0.5,212.0,10
Hurricane,-58.5408,-50.1219,34.1,265.5,88.9,138.3,945.1,79.3,1.7,67.1,9
Wildfire,-72.8036,44.5894,41.8,5.9,7.5,46.8,1015.9,6.5,0.2,230.7,3
No Disaster,19.2769,16.8111,13.5,7.8,47.8,9.9,1019.6,34.1,1.4,404.3,6
Flood,-9.7576,80.8261,15.2,302.3,94.6,28.1,990.1,96.2,1.9,26.5,5
Blizzard,70.9544,-110.9278,-20.3,2.3,74.2,24.2,998.2,62.7,1.2,544.1,5
Drought,-41.1935,33.4123,40.2,2.3,16.4,8.8,1001.3,7.6,0.5,497.7,7
Earthquake,-6.263,-158.3488,21.2,47.9,30.5,13.8,997.0,51.4,5.9,900.7,12
Hurricane,-27.4371,59.3682,33.0,289.1,80.9,159.9,937.6,89.7,1.9,54.0,9
No Disaster,30.8805,-146.5455,13.9,15.8,55.9,12.2,1005.2,34.8,0.1,117.6,7
No Disaster,-42.6397,-50.3509,11.3,18.7,46.6,6.1,1001.9,43.4,1.2,515.7,3
Flood,51.5297,26.8515,23.5,317.3,85.0,21.9,996.2,85.1,1.7,53.2,6
Drought,-64.57,-103.6863,42.3,3.2,5.6,8.1,1005.6,19.1,0.9,466.4,2
No Disaster,-66.1456,130.3252,23.8,9.7,48.2,15.3,995.2,45.1,0.8,146.4,5
No Disaster,-68.0829,-7.8358,17.6,4.7,32.4,15.5,993.7,47.8,1.9,876.1,12
No Disaster,63.2608,-179.8803,10.3,12.1,40.9,7.7,1006.9,35.8,0.4,484.6,2
Drought,-79.5995,70.2127,44.8,2.4,8.6,7.4,1007.6,2.0,1.0,31.1,4
No Disaster,23.9741,-97.5979,13.5,4.4,35.2,13.1,1015.4,51.7,1.6,404.8,3
Heatwave,-23.8033,-30.9133,48.3,1.5,20.4,0.2,1016.2,9.6,0.0,207.9,10
Volcanic Eruption,32.5755,-111.7099,17.4,16.2,70.1,25.2,963.9,42.6,4.2,2114.2,1
No Disaster,8.6327,-16.4242,22.7,2.0,44.6,3.0,999.7,52.1,1.0,375.9,4
No Disaster,64.7217,-38.7383,24.3,2.7,33.1,13.2,1018.3,54.3,0.2,279.4,2
Landslide,-83.0833,144.6343,16.9,309.3,89.8,26.9,998.7,88.4,2.3,2036.8,3
No Disaster,-70.9752,175.7791,16.6,1.0,31.1,14.9,1009.8,54.1,0.2,35.6,4
No Disaster,42.7515,-52.8295,14.4,7.0,53.2,13.2,995.6,35.2,0.2,660.3,8
Heatwave,-42.2916,-172.4598,40.8,1.9,10.9,11.5,1019.4,7.6,0.2,97.1,4
Hurricane,49.4341,51.8055,30.3,156.3,99.2,219.8,944.6,89.2,1.2,58.2,12
Earthquake,-61.8051,-164.2552,12.2,29.9,25.7,7.5,1009.3,45.5,6.2,547.6,4
Tsunami,-68.1298,-108.9106,28.9,19.4,68.6,16.3,1015.8,62.3,9.3,12.6,5
Tsunami,86.1115,89.3491,25.6,5.4,61.6,6.4,1012.6,33.5,8.3,36.4,2
No Disaster,-66.2888,81.3528,22.3,4.3,45.2,16.8,1012.0,46.3,1.2,508.4,6
No Disaster,11.704,67.9987,23.1,12.7,52.8,3.2,1003.8,30.3,0.5,726.5,1
Earthquake,-39.9776,-110.1766,27.6,32.9,38.7,14.8,1018.5,54.6,8.3,750.5,9
Earthquake,9.7608,-178.1173,25.2,1.8,64.7,4.0,1023.5,44.7,6.8,297.8,7
Earthquake,-5.3426,0.7381,12.5,19.3,58.6,15.6,997.6,35.5,8.2,3.8,7
Wildfire,-89.4207,43.0522,40.3,7.9,6.4,39.4,1004.4,19.3,0.1,954.0,7
Landslide,36.5298,-160.9906,17.3,299.8,88.1,0.7,984.5,89.1,2.6,2390.8,12
Blizzard,51.2815,74.7651,-6.3,5.2,77.6,28.8,991.5,77.4,0.1,519.2,11
No Disaster,54.246,95.9719,21.0,6.0,35.2,12.8,1004.9,35.3,1.4,991.1,12
Earthquake,-20.9101,25.874,21.8,9.2,41.7,6.7,990.9,31.0,8.8,546.1,1
Flood,77.331,101.7295,15.8,455.8,76.8,21.3,993.9,79.2,1.1,93.7,4
Volcanic Eruption,-65.9736,-150.9835,19.6,24.8,46.2,29.2,1003.6,46.4,7.1,1406.1,4
No Disaster,28.2519,164.3813,11.0,1.1,38.5,5.2,997.4,57.2,0.5,271.9,6
No Disaster,-12.8004,124.1242,14.0,3.1,55.6,0.9,1008.6,46.9,0.7,315.2,11
Earthquake,-27.4782,143.94,10.4,33.2,77.8,11.2,1022.8,32.1,7.2,520.3,9
Earthquake,-0.9934,172.6383,12.9,36.3,31.5,6.8,1000.8,67.9,9.4,366.0,1
No Disaster,-62.7756,-98.8859,13.8,17.0,46.8,10.5,993.4,55.8,1.4,67.7,6
No Disaster,8.791,40.6441,13.4,16.9,42.9,2.8,1009.9,36.5,0.2,862.0,3
Heatwave,27.1752,16.3555,40.6,1.0,21.1,6.9,1010.8,15.7,0.2,206.9,4
Earthquake,8.0726,93.033,25.1,0.9,27.6,13.2,995.7,40.2,9.3,1120.4,12
Volcanic Eruption,48.9622,-170.2197,6.3,23.2,74.6,21.5,984.8,44.2,7.3,3466.3,2
Hurricane,-73.1866,-21.214,27.0,178.0,77.4,153.5,967.9,61.1,0.6,64.3,8
No Disaster,3.6343,-18.8629,18.4,3.3,48.4,7.3,1016.9,35.1,1.0,598.1,7
Blizzard,-56.8395,141.8363,-10.4,1.5,77.6,56.9,982.9,95.3,1.2,1059.9,1
Volcanic Eruption,-14.803,174.2797,18.4,31.7,30.0,35.3,979.9,46.5,4.1,2679.3,1
Blizzard,-84.7145,116.265,-23.7,3.8,98.9,40.2,990.4,96.7,0.2,1543.2,9
Heatwave,-5.1898,115.7893,44.6,0.7,14.9,12.4,1015.0,3.5,0.7,660.8,1
Volcanic Eruption,-46.8227,-128.8901,12.0,22.5,64.9,26.0,993.5,54.1,8.2,2413.9,11
No Disaster,24.1456,-134.5447,20.1,6.5,50.6,1.4,995.2,55.7,0.5,837.0,7
Earthquake,-76.126,-57.4632,27.3,10.8,41.6,1.4,1016.7,46.3,8.5,1807.2,1
No Disaster,47.8917,103.841,20.0,5.2,57.2,13.4,1006.8,33.3,0.9,460.4,4
Earthquake,-21.3099,-133.6145,18.3,40.1,48.7,0.4,1004.8,31.1,9.4,254.9,9
No Disaster,-37.4007,147.8773,21.3,16.1,30.5,19.3,1011.8,39.1,1.7,281.5,4
Flood,-69.7355,73.327,23.1,229.0,77.3,10.4,994.1,72.1,1.5,29.7,11
Blizzard,41.4443,35.571,-28.1,8.8,95.1,39.8,991.9,99.6,0.9,1109.5,1
No Disaster,-38.6477,-25.4943,14.0,15.8,47.2,13.2,997.6,36.6,1.0,737.6,9
Tsunami,73.7328,60.9121,28.3,26.4,77.2,10.3,1002.9,35.8,8.1,38.7,9
Earthquake,-28.6532,-120.6631,13.4,47.4,46.7,15.8,1012.4,57.1,6.0,468.4,12
Earthquake,-2.2199,54.8007,29.0,30.0,64.6,10.1,1012.2,32.8,6.5,723.7,12
Blizzard,18.7329,146.6569,-22.8,4.7,78.0,48.4,1001.8,78.8,0.7,1001.1,1
Blizzard,2.9831,-178.0179,-29.8,2.2,61.5,26.5,991.9,92.1,0.9,1074.1,11
Hurricane,-82.0102,-79.9841,33.2,192.7,95.5,179.7,974.0,73.0,0.1,67.5,3
Landslide,-8.8925,154.5936,12.5,247.5,91.9,26.5,1000.2,77.7,4.7,1593.5,10
No Disaster,81.9109,115.6314,10.0,12.7,31.5,5.2,991.8,48.1,1.4,114.5,1
No Disaster,-7.8774,-47.1409,11.8,8.4,52.5,1.4,992.4,40.6,1.9,668.6,9
Blizzard,26.361,139.6941,-12.0,5.0,65.6,26.9,985.4,66.9,1.0,1507.9,6
Hurricane,59.2232,176.8548,33.2,254.2,88.3,167.3,934.2,66.0,1.8,80.8,9
Hurricane,41.2512,54.825,33.5,253.9,85.7,200.9,943.8,62.3,1.6,44.6,2
Wildfire,-20.8369,-17.9556,43.7,7.6,6.5,54.5,990.4,11.1,0.1,710.9,8
No Disaster,-22.5805,-119.9303,16.5,2.9,56.7,6.9,994.6,30.8,1.3,636.9,11
Drought,-20.5426,105.0193,38.9,1.0,26.2,15.6,1021.0,11.6,0.8,52.6,1
Hurricane,-64.7005,-5.1877,25.3,225.8,99.1,157.6,931.9,51.2,0.8,16.0,2
Volcanic Eruption,-33.6229,-127.0577,14.8,6.5,70.1,14.8,976.2,59.0,6.2,3984.6,9
No Disaster,87.1224,-76.174,24.4,7.8,41.6,6.8,1006.2,34.6,1.1,541.7,6
Blizzard,-45.5567,121.8777,-19.3,8.3,88.4,30.6,997.8,87.1,0.4,1678.3,4
No Disaster,-27.4901,28.9683,12.1,8.9,48.8,9.8,1002.1,59.8,1.8,623.4,9
No Disaster,52.6539,-13.8796,21.0,3.0,55.6,14.2,1017.2,34.0,1.2,599.1,6
Drought,6.0096,133.1889,32.0,7.9,8.1,20.9,1006.9,17.5,1.4,74.4,3
Landslide,2.3224,-146.2779,21.3,273.0,79.1,14.7,993.5,86.9,3.8,2211.5,9
No Disaster,-24.7917,81.2579,23.4,9.1,43.3,12.0,1007.7,54.2,1.0,996.1,8
No Disaster,63.7132,-21.9061,22.7,17.9,31.9,17.7,1003.4,45.3,1.3,926.4,2
Heatwave,-4.1682,67.5799,47.2,1.4,7.7,4.5,1015.4,16.1,0.3,168.6,9
No Disaster,52.8109,176.5966,13.0,19.9,32.7,0.0,991.3,40.3,1.3,69.0,8
Drought,78.6764,115.8936,42.1,8.8,22.5,7.1,1010.0,14.5,0.4,343.7,6
Drought,-34.8953,17.6869,39.5,5.8,22.4,5.1,1002.5,17.4,1.0,56.5,2
Earthquake,53.0128,74.5511,11.0,3.6,44.2,5.9,998.1,41.2,8.7,1858.5,7
Drought,73.1,-64.2615,37.1,2.3,21.0,24.6,1015.1,7.2,1.0,61.5,1
Hurricane,39.5625,132.096,29.5,273.2,88.9,195.6,956.3,68.5,0.5,30.3,6
Heatwave,11.392,-136.8167,49.2,1.4,13.0,2.4,1023.2,16.5,0.7,217.2,1
No Disaster,-32.8344,-179.9515,17.7,0.9,38.3,14.1,991.9,55.2,0.0,246.8,9
Landslide,-75.1112,155.1195,22.4,182.5,86.9,26.0,995.7,97.2,5.8,1844.8,6
No Disaster,-22.0828,167.0682,11.3,13.7,44.8,7.8,1009.0,51.1,0.0,167.0,5
Flood,67.592,-114.1894,19.2,238.9,90.3,38.3,988.1,79.0,1.6,99.9,1
Landslide,-25.1909,164.4479,17.5,258.2,83.7,6.3,986.6,81.1,2.2,2535.1,2
No Disaster,9.3725,-30.3129,20.8,7.4,56.1,14.6,1009.4,53.9,1.5,35.9,9
Flood,-65.4118,54.5903,26.1,294.7,89.3,21.9,1001.4,68.0,2.2,28.7,3
Wildfire,30.036,116.3914,46.7,5.4,6.5,44.4,997.3,27.3,1.7,1122.2,10
No Disaster,-84.3441,85.0322,15.0,18.1,38.0,14.5,1016.3,31.2,0.8,762.3,7
Earthquake,49.3184,98.2517,20.4,48.8,27.5,0.3,1017.0,62.3,6.0,531.2,5
Blizzard,-28.4753,86.0496,-23.3,6.4,82.8,54.1,1003.2,81.9,1.3,1383.6,11
Blizzard,59.3574,38.2128,-21.3,2.1,66.1,74.0,1004.9,97.5,0.9,999.5,12
No Disaster,-4.7142,-159.176,24.4,18.9,53.6,19.8,1006.3,58.9,0.2,365.7,11
No Disaster,40.6129,43.1044,23.4,16.9,39.5,5.5,1019.4,45.8,1.8,163.9,11
No Disaster,-43.2171,-55.7308,23.8,5.8,44.1,17.8,1011.2,31.9,0.3,7.8,4
Heatwave,-48.5548,-163.957,44.2,0.6,20.2,5.3,1024.2,19.2,0.6,742.9,2
Heatwave,8.4347,-115.0891,44.6,1.1,22.3,7.2,1023.5,13.5,0.1,796.0,2
Volcanic Eruption,63.6813,-92.8882,24.2,9.8,77.1,39.8,999.8,79.2,6.8,1778.6,9
Flood,75.4897,-116.6056,18.2,203.9,70.4,34.9,1002.0,74.2,1.7,39.5,2
No Disaster,84.0695,-38.5942,22.8,15.5,39.3,4.6,1003.7,53.4,1.9,763.6,6
Volcanic Eruption,18.5516,120.7468,20.7,18.8,53.1,32.2,953.2,72.3,4.9,2544.1,11
Landslide,-44.3122,-91.5093,16.0,373.7,70.0,27.0,976.9,99.7,5.8,1989.4,9
Drought,46.9814,-46.1793,35.9,7.5,28.0,24.0,1014.4,7.1,1.2,125.5,4
Blizzard,13.2914,-30.3826,-4.6,9.0,95.1,78.5,981.0,93.6,1.1,534.5,1
